MMS ID,TIFF Filename,JPG Size (bytes),Source Type,Local Path
991011588489904641,grinnell_33933_OBJ.tiff,9310,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_33933_OBJ.tiff
991011588525004641,grinnell_23562_OBJ.tiff,8575,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23562_OBJ.tiff
991011588527604641,grinnell_23558_OBJ.tiff,7396,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23558_OBJ.tiff
991011588530904641,grinnell_23553_OBJ.tiff,8121,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23553_OBJ.tiff
991011588841504641,grinnell_26802_OBJ.tiff,7128,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26802_OBJ.tiff
991011588841604641,grinnell_26801_OBJ.tiff,7888,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26801_OBJ.tiff
991011588843204641,grinnell_26785_OBJ.tiff,2684,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26785_OBJ.tiff
991011588843304641,grinnell_26784_OBJ.tiff,2684,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26784_OBJ.tiff
991011588843404641,grinnell_26783_OBJ.tiff,3376,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26783_OBJ.tiff
991011588843504641,grinnell_26782_OBJ.tiff,3387,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26782_OBJ.tiff
991011589476404641,grinnell_12456_OBJ.tiff,2779,/Volumes,/Volumes/exports/phpp-dcl/OBJ/grinnell_12456_OBJ.tiff
991011532691904641,grinnell_5568_OBJ.tiff,39108,OneDrive,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/Shared with Everyone/DG-Exports/college-buildings/OBJ/grinnell_5568_OBJ.tiff
991011532692004641,grinnell_5567_OBJ.tiff,39108,OneDrive,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/Shared with Everyone/DG-Exports/college-buildings/OBJ/grinnell_5567_OBJ.tiff
991011532692104641,grinnell_5566_OBJ.tiff,38894,OneDrive,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/Shared with Everyone/DG-Exports/college-buildings/OBJ/grinnell_5566_OBJ.tiff
991011532693304641,grinnell_5293_OBJ.tiff,37034,OneDrive,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/Shared with Everyone/DG-Exports/college-buildings/OBJ/grinnell_5293_OBJ.tiff
991011532696704641,grinnell_4953_OBJ.tiff,38827,OneDrive,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/Shared with Everyone/DG-Exports/college-buildings/OBJ/grinnell_4953_OBJ.tiff
991011547180704641,grinnell_5117_OBJ.tiff,25308,/Volumes,/Volumes/exports/grinnell-in-china/OBJ/grinnell_5117_OBJ.tiff
991011578727204641,grinnell_5988_OBJ.tiff,31423,OneDrive,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/Shared with Everyone/DG-Exports/college-history/OBJ/grinnell_5988_OBJ.tiff
991011578727304641,grinnell_5987_OBJ.tiff,22278,OneDrive,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/Shared with Everyone/DG-Exports/college-history/OBJ/grinnell_5987_OBJ.tiff
991011578727404641,grinnell_5984_OBJ.tiff,21986,OneDrive,/Users/mcfatem/Library/CloudStorage/OneDrive-GrinnellCollege/Shared with Everyone/DG-Exports/college-history/OBJ/grinnell_5984_OBJ.tiff
991011588247004641,grinnell_26746_OBJ.tiff,43620,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26746_OBJ.tiff
991011588247104641,grinnell_26745_OBJ.tiff,47688,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26745_OBJ.tiff
991011588247704641,grinnell_26681_OBJ.tiff,35353,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26681_OBJ.tiff
991011588249904641,grinnell_23638_OBJ.tiff,31783,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23638_OBJ.tiff
991011588250004641,grinnell_23634_OBJ.tiff,28026,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23634_OBJ.tiff
991011588250404641,grinnell_23630_OBJ.tiff,29733,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23630_OBJ.tiff
991011588250504641,grinnell_23629_OBJ.tiff,30516,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23629_OBJ.tiff
991011588250604641,grinnell_23628_OBJ.tiff,31671,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23628_OBJ.tiff
991011588253404641,grinnell_34060_OBJ.tiff,48424,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34060_OBJ.tiff
991011588253604641,grinnell_34058_OBJ.tiff,40737,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34058_OBJ.tiff
991011588254104641,grinnell_34053_OBJ.tiff,38714,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34053_OBJ.tiff
991011588254304641,grinnell_34051_OBJ.tiff,42149,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34051_OBJ.tiff
991011588254904641,grinnell_34045_OBJ.tiff,43115,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34045_OBJ.tiff
991011588255004641,grinnell_34044_OBJ.tiff,44997,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34044_OBJ.tiff
991011588255104641,grinnell_34043_OBJ.tiff,41387,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34043_OBJ.tiff
991011588255204641,grinnell_34042_OBJ.tiff,38647,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34042_OBJ.tiff
991011588255304641,grinnell_34041_OBJ.tiff,41105,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34041_OBJ.tiff
991011588255404641,grinnell_34040_OBJ.tiff,44194,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34040_OBJ.tiff
991011588255804641,grinnell_34036_OBJ.tiff,39263,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34036_OBJ.tiff
991011588255904641,grinnell_34035_OBJ.tiff,40583,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34035_OBJ.tiff
991011588256004641,grinnell_34034_OBJ.tiff,42333,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34034_OBJ.tiff
991011588256104641,grinnell_34033_OBJ.tiff,38358,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34033_OBJ.tiff
991011588256304641,grinnell_34031_OBJ.tiff,41398,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34031_OBJ.tiff
991011588256404641,grinnell_34030_OBJ.tiff,45748,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34030_OBJ.tiff
991011588257104641,grinnell_34023_OBJ.tiff,44922,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34023_OBJ.tiff
991011588257304641,grinnell_34021_OBJ.tiff,37183,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34021_OBJ.tiff
991011588257904641,grinnell_23422_OBJ.tiff,46171,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23422_OBJ.tiff
991011588259704641,grinnell_23413_OBJ.tiff,24422,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23413_OBJ.tiff
991011588260204641,grinnell_20107_OBJ.tiff,48077,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_20107_OBJ.tiff
991011588261404641,grinnell_20103_OBJ.tiff,35984,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_20103_OBJ.tiff
991011588261704641,grinnell_20102_OBJ.tiff,37471,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_20102_OBJ.tiff
991011588262004641,grinnell_20101_OBJ.tiff,36108,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_20101_OBJ.tiff
991011588262504641,grinnell_20099_OBJ.tiff,14028,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_20099_OBJ.tiff
991011588262804641,grinnell_20098_OBJ.tiff,20008,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_20098_OBJ.tiff
991011588263304641,grinnell_20096_OBJ.tiff,36293,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_20096_OBJ.tiff
991011588263604641,grinnell_20095_OBJ.tiff,31942,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_20095_OBJ.tiff
991011588269104641,grinnell_20125_OBJ.tiff,46479,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_20125_OBJ.tiff
991011588271204641,grinnell_20067_OBJ.tiff,32411,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_20067_OBJ.tiff
991011588273804641,grinnell_13265_OBJ.tiff,28575,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_13265_OBJ.tiff
991011588274004641,grinnell_13264_OBJ.tiff,44604,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_13264_OBJ.tiff
991011588274604641,grinnell_13261_OBJ.tiff,39232,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_13261_OBJ.tiff
991011588274804641,grinnell_13260_OBJ.tiff,41587,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_13260_OBJ.tiff
991011588275004641,grinnell_13259_OBJ.tiff,16079,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_13259_OBJ.tiff
991011588280704641,grinnell_17777_OBJ.tiff,37985,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_17777_OBJ.tiff
991011588514904641,grinnell_20039_OBJ.tiff,16626,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_20039_OBJ.tiff
991011588515304641,grinnell_20037_OBJ.tiff,16395,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_20037_OBJ.tiff
991011588515804641,grinnell_20036_OBJ.tiff,15722,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_20036_OBJ.tiff
991011588519704641,grinnell_23462_OBJ.tiff,24600,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23462_OBJ.tiff
991011588521004641,grinnell_23461_OBJ.tiff,27396,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23461_OBJ.tiff
991011588521904641,grinnell_23460_OBJ.tiff,24837,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23460_OBJ.tiff
991011588522804641,grinnell_23459_OBJ.tiff,24776,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23459_OBJ.tiff
991011588523704641,grinnell_23458_OBJ.tiff,23684,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23458_OBJ.tiff
991011588524304641,grinnell_23563_OBJ.tiff,13458,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23563_OBJ.tiff
991011588524604641,grinnell_23457_OBJ.tiff,25470,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23457_OBJ.tiff
991011588525504641,grinnell_23456_OBJ.tiff,42722,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23456_OBJ.tiff
991011588525604641,grinnell_23561_OBJ.tiff,14432,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23561_OBJ.tiff
991011588526304641,grinnell_23560_OBJ.tiff,15164,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23560_OBJ.tiff
991011588527004641,grinnell_23559_OBJ.tiff,22227,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23559_OBJ.tiff
991011588528104641,grinnell_23557_OBJ.tiff,14684,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23557_OBJ.tiff
991011588528904641,grinnell_23451_OBJ.tiff,38328,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_23451_OBJ.tiff
991011588543004641,grinnell_19895_OBJ.tiff,38084,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_19895_OBJ.tiff
991011588543204641,grinnell_19894_OBJ.tiff,16466,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_19894_OBJ.tiff
991011588833304641,grinnell_34011_OBJ.tiff,49866,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34011_OBJ.tiff
991011588833404641,grinnell_34010_OBJ.tiff,42722,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34010_OBJ.tiff
991011588833804641,grinnell_34006_OBJ.tiff,38969,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34006_OBJ.tiff
991011588834204641,grinnell_34002_OBJ.tiff,47462,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34002_OBJ.tiff
991011588834604641,grinnell_33998_OBJ.tiff,38024,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_33998_OBJ.tiff
991011588841804641,grinnell_26799_OBJ.tiff,22070,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26799_OBJ.tiff
991011588842304641,grinnell_26794_OBJ.tiff,20008,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26794_OBJ.tiff
991011588842504641,grinnell_26792_OBJ.tiff,36293,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26792_OBJ.tiff
991011588842604641,grinnell_26791_OBJ.tiff,31942,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26791_OBJ.tiff
991011588842804641,grinnell_26789_OBJ.tiff,12744,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26789_OBJ.tiff
991011588842904641,grinnell_26788_OBJ.tiff,20276,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26788_OBJ.tiff
991011588843004641,grinnell_26787_OBJ.tiff,23095,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26787_OBJ.tiff
991011588843104641,grinnell_26786_OBJ.tiff,10795,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26786_OBJ.tiff
991011588844604641,grinnell_26770_OBJ.tiff,30360,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26770_OBJ.tiff
991011588845004641,grinnell_26766_OBJ.tiff,29636,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26766_OBJ.tiff
991011588845204641,grinnell_26764_OBJ.tiff,34136,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_26764_OBJ.tiff
991011589498404641,grinnell_5900_OBJ.tiff,36740,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5900_OBJ.tiff
991011589510704641,grinnell_5615_OBJ.tiff,28676,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5615_OBJ.tiff
991011589511104641,grinnell_5611_OBJ.tiff,25439,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5611_OBJ.tiff
991011589512304641,grinnell_5590_OBJ.tiff,18731,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5590_OBJ.tiff
991011589513204641,grinnell_5569_OBJ.tiff,15656,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5569_OBJ.tiff
991011589513304641,grinnell_5565_OBJ.tiff,38894,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5565_OBJ.tiff
991011589515504641,grinnell_5294_OBJ.tiff,30666,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5294_OBJ.tiff
991011589515604641,grinnell_5191_OBJ.tiff,31000,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5191_OBJ.tiff
991011589515704641,grinnell_5190_OBJ.tiff,32834,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5190_OBJ.tiff
991011589516404641,grinnell_5181_OBJ.tiff,30742,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5181_OBJ.tiff
991011589516604641,grinnell_5179_OBJ.tiff,31256,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5179_OBJ.tiff
991011589516804641,grinnell_5177_OBJ.tiff,32490,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5177_OBJ.tiff
991011589518004641,grinnell_5158_OBJ.tiff,40459,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5158_OBJ.tiff
991011589522204641,grinnell_5118_OBJ.tiff,13191,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5118_OBJ.tiff
991011589524204641,grinnell_5105_OBJ.tiff,48236,Other,/Users/mcfatem/Downloads/grinnell_5105_OBJ.tiff
991011589525104641,grinnell_5103_OBJ.tiff,12164,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5103_OBJ.tiff
991011589528004641,grinnell_34479_OBJ.tiff,35003,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34479_OBJ.tiff
991011589534404641,grinnell_34463_OBJ.tiff,36716,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_34463_OBJ.tiff
991011589613304641,grinnell_5739_OBJ.tiff,31095,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5739_OBJ.tiff
991011589618804641,grinnell_5211_OBJ.tiff,30933,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5211_OBJ.tiff
991011589618904641,grinnell_5210_OBJ.tiff,29506,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5210_OBJ.tiff
991011589619004641,grinnell_5209_OBJ.tiff,31202,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5209_OBJ.tiff
991011589619104641,grinnell_5208_OBJ.tiff,31127,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5208_OBJ.tiff
991011589619204641,grinnell_5207_OBJ.tiff,33018,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5207_OBJ.tiff
991011589619404641,grinnell_5205_OBJ.tiff,37397,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5205_OBJ.tiff
991011589619504641,grinnell_5204_OBJ.tiff,31783,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5204_OBJ.tiff
991011589619604641,grinnell_5203_OBJ.tiff,15044,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5203_OBJ.tiff
991011589619804641,grinnell_5201_OBJ.tiff,30933,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5201_OBJ.tiff
991011589619904641,grinnell_5200_OBJ.tiff,15530,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5200_OBJ.tiff
991011589620004641,grinnell_5199_OBJ.tiff,28026,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5199_OBJ.tiff
991011589620104641,grinnell_5198_OBJ.tiff,28026,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5198_OBJ.tiff
991011589620204641,grinnell_5197_OBJ.tiff,28229,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5197_OBJ.tiff
991011589620304641,grinnell_5194_OBJ.tiff,29733,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5194_OBJ.tiff
991011589620404641,grinnell_5193_OBJ.tiff,30516,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5193_OBJ.tiff
991011589620504641,grinnell_5192_OBJ.tiff,31671,/Volumes,/Volumes/exports/college-life/OBJ/grinnell_5192_OBJ.tiff
